Overlap,Adhesive,Film_thickness,Cores
49.4974,DP490,0.2848,28
31.4257,DP490,0.1553,28
41.9811,DP490,0.2055,28
44.2449,DP490,0.2821,28
57.9615,DP490,0.3192,28
47.2592,DP490,0.1803,28
32.8912,DP490,0.2357,28
42.7254,DP490,0.2463,28
54.0011,DP490,0.1981,28
38.6173,DP490,0.1075,28
43.7844,DP490,0.3085,28
48.1519,DP490,0.2302,28
52.4668,DP490,0.3389,28
51.4299,DP490,0.2606,28
34.7942,DP490,0.2996,28
36.7534,DP490,0.1291,28
53.1072,DP490,0.3019,28
37.3939,DP490,0.3494,28
30.9883,DP490,0.1883,28
39.9894,DP490,0.2235,28
40.0504,DP490,0.171,28
33.6903,DP490,0.3276,28
58.4716,DP490,0.1646,28
46.1108,DP490,0.2576,28
55.7746,DP490,0.1349,28
50.5869,DP490,0.1109,28
56.6613,DP490,0.2093,28
45.9243,DP490,0.1213,28
59.5042,DP490,0.1431,28
35.7108,DP490,0.2698,28
